"","simulation","distance","radius","error","tpvalue","sensitivity","specificity","accuracy","model","sill","range","sderror","stand"
"19838",87,60,15,0.492635,8.177577e-33,1,1,1,2,0.2193347,22.3263,0.0001134707,"stand3"
"19839",87,60,17.5,-0.3404255,6.679224e-14,1,1,1,7,0.2273205,21.38493,0.0005425778,"stand3"
"19840",87,60,20,0.5286416,3.622121e-38,1,1,1,7,0.2115911,22.80794,0.000526863,"stand3"
"19841",87,65,10,0.01963993,0.6597238,1,1,1,3,0.2229388,124.1013,8.823027e-05,"stand3"
"19842",87,65,12.5,0.3518822,1.365614e-16,1,1,1,7,0.1897773,18.13938,0.0003228984,"stand3"
"19843",87,65,15,0.1031097,0.01969665,1,1,1,7,0.2460127,17.17788,0.0002827612,"stand3"
"19844",87,65,17.5,0.4942717,4.795895e-33,1,1,1,7,0.2250899,13.90742,0.0001698331,"stand3"
"19845",87,65,20,0.5384615,1.007996e-39,1,1,1,7,0.2423619,17.06182,0.000658818,"stand3"
"19846",87,70,10,0.1669394,0.000141108,1,1,1,7,105.0652,55748.36,0.0002654653,"stand3"
"19847",87,70,12.5,0.5744681,8.533243e-46,1,1,1,7,0.1929984,25.18756,4.165451e-05,"stand3"
"19848",87,70,15,0.2389525,3.682487e-08,1,1,1,7,5.248658,2766.16,3.463195e-05,"stand3"
"19849",87,70,17.5,0.5646481,4.426291e-44,1,1,1,3,0.2220903,39.10366,0.0004868294,"stand3"
"19850",87,70,20,0.07855974,0.07641714,1,1,1,3,0.2381773,66.17014,0.0008033851,"stand3"
"19851",87,75,10,-0.7512275,1.748612e-63,1,1,1,7,0.2080911,33.33513,3.354945e-05,"stand3"
"19852",87,75,12.5,0.5237316,2.094467e-37,1,1,1,3,0.1236885,54.7454,0.0001348208,"stand3"
"19853",87,75,15,0.5810147,5.789407e-47,1,1,1,7,0.1286385,38.4776,0.000176933,"stand3"
"19854",87,75,17.5,0.111293,0.01174886,1,1,1,7,0.2192788,14.75568,0.0001690608,"stand3"
"19855",87,75,20,0.3797054,2.959041e-19,1,1,1,7,0.2736696,19.8408,0.0007439647,"stand3"
"19856",87,80,10,0.9099836,1.07498e-136,1,1,1,4,0.2915474,13.38177,9.544723e-05,"stand3"
"19857",87,80,12.5,0.5859247,7.462136e-48,1,1,1,4,0.2774448,17.92119,9.495389e-05,"stand3"
"19858",87,80,15,0.3747954,9.107951e-19,1,1,1,4,0.06682133,38.1579,8.135382e-05,"stand3"
"19859",87,80,17.5,-0.1653028,0.0002551845,1,1,1,4,0.09548587,124.2316,8.740956e-06,"stand3"
"19860",87,80,20,0.4779051,8.918984e-31,1,1,1,3,0.1469603,34.06207,0.000134533,"stand3"
"19861",87,85,10,-0.09328969,0.03822348,1,1,1,7,0.1851883,19.12134,1.561125e-05,"stand3"
"19862",87,85,12.5,0.9656301,1.673033e-157,1,1,1,4,0.1435042,11.91465,0.0002077175,"stand3"
"19863",87,85,15,0.2569558,2.899812e-09,1,1,1,7,0.1314172,12.70519,3.779858e-05,"stand3"
"19864",87,85,17.5,0.5220949,3.739533e-37,1,1,1,7,0.1873165,19.10746,0.0004156784,"stand3"
"19865",87,85,20,0.3993453,2.743501e-21,1,1,1,7,0.2112293,15.13052,0.0005556663,"stand3"
